StatID,Name,Category,Level,Description,FormulaConcept,PrimaryInputs,FilterContext,ComputableNow,ExtraDataNeeded,LLMNotes
G,Goals,Core,"Player-Game,Player-Season",Number of goals scored by the player.,Count events where type='shot' and event_successful=1 and credited as goal to event_player_1.,"fact_events_long(type,event_successful,event_player_1_id)",,now_manual_tracking,,Use with TOI or shots to compute rates like goals/60 or shooting%.
A1,Primary Assists,Core,"Player-Game,Player-Season",Assists that are the final pass before a goal.,Count goal events where player appears as primary assister in play_detail or event_details_1/2.,"fact_events_long(type,play_details_1,play_details_2,event_player_1_id,...)",,now_manual_tracking,Needs consistent encoding of assist roles.,Primary assists often better reflect playmaking than total assists.
A2,Secondary Assists,Core,"Player-Game,Player-Season",Assists that are one step removed from the goal (secondary pass).,Similar to A1 but for secondary assist tags in play detail columns.,"fact_events_long(play_details_1,play_details_2)",,now_manual_tracking,Assist tagging scheme in tracker.,Separate from A1 so you can compute A1/A2 mix.
PTS,Points,Core,"Player-Game,Player-Season",Goals + assists.,PTS = G + (A1 + A2).,"Derived from G,A1,A2",,now_manual_tracking,,Traditional scoring stat; use with TOI for points/60.
TOI_EV_60,Even-Strength TOI per 60,Core,"Player-Game,Player-Season",Even-strength time on ice normalized per 60 minutes.,TOI_EV_60 = (sum(shift_duration where strength='5v5') / 60).,"fact_shifts_player(shift_duration_seconds,strength)",strength='5v5',now_manual_tracking,,Captures 5v5 deployment; compare across games or players.
PLUS_MINUS,Plus / Minus,Core,"Player-Game,Player-Season",Goal differential while player is on ice at even strength.,PLUS_MINUS = goals_for_on_ice - goals_against_on_ice (EV situations).,"fact_events_wide,fact_shifts_on_ice",5v5 or EV only,now_manual_tracking,,"Legacy metric; noisy, but familiar for coaches and players."
CF,Corsi For,Shot,"Player-On-Ice-Game,Team-Game",Shot attempts for while the player/team is on the ice (shots+misses+blocks).,"Count events where type in {shot,miss,block} and on-ice team is shooting team.","fact_events_long,fact_shifts_on_ice","5v5,score-tied",now_manual_tracking,Need miss & block events consistently logged.,Puck-possession proxy; use with CA for Corsi%.
CA,Corsi Against,Shot,"Player-On-Ice-Game,Team-Game",Shot attempts against while player is on ice.,Same as CF but for opponent team.,"fact_events_long,fact_shifts_on_ice","5v5,score-tied",now_manual_tracking,,Combine with CF for Corsi differential and share.
CF_PCT,Corsi Percentage,Shot,"Player-On-Ice-Game,Team-Game",Share of Corsi attempts for vs total when player is on ice.,CF_PCT = CF / (CF + CA).,"Derived from CF,CA","5v5,score-tied",now_manual_tracking,,Key shot share metric; used heavily in public analytics.
FF,Fenwick For,Shot,"Player-On-Ice-Game,Team-Game",Unblocked shot attempts for (shots+misses).,"Count type in {shot,miss} for team while player on ice.","fact_events_long,fact_shifts_on_ice","5v5,score-tied",now_manual_tracking,,Similar to CF but slightly closer to goal probability.
HDCF,High-Danger Corsi For,Shot,"Player-On-Ice-Game,Team-Game",Shot attempts from high-danger areas while player is on ice.,Count Corsi events where danger_zone='high' or shot_xy in HD polygon.,"fact_events_xy,dim_rink_zones,fact_shifts_on_ice","5v5,score-tied",needs_xy,Danger classification or polygons per rink.,"Mirrors public HD metrics; useful for chance quality, not just volume."
SHOT_DIST,Shot Distance,Shot,Event,Distance from shot location to net (feet).,sqrt((x - net_x)^2 + (y - net_y)^2) in rink coords.,"fact_events_xy,dim_rink_goal_location",,needs_xy,Consistent coordinate system per rink.,Important feature for xG and shot profiling.
SHOT_ANGLE,Shot Angle,Shot,Event,Angle of shot relative to center of net.,"atan2(|y - net_y|, |x - net_x|) in degrees.","fact_events_xy,dim_rink_goal_location",,needs_xy,,Combined with distance; steep angles usually lower xG.
