stat_id,name,short_name,level,category,description,formula_or_logic,formula_concept,inputs_core,inputs_optional,filter_context_notes,primary_data_sources,requires_detailed_tracking,feasible_from_league_boxscore_only,implementation_status,extra_data_needed,example_usage,notes,llm_notes
A1,Primary Assists,,player_game,boxscore_core,Number of primary assists credited to the player.,Count events where play_details_1 or event_details_1 indicate 'primary_assist' and player is referenced as assisting player id.,,,,,"fact_events_long, dim_event_details, dim_player",yes,partial,planned,,,Relies on consistent encoding of primary assist in event_detail or play_detail fields.,
A2,Secondary Assists,,player_game,boxscore_core,Number of secondary assists credited to the player.,Same as A1 but using secondary assist markers in details columns.,,,,,"fact_events_long, dim_event_details, dim_player",yes,partial,planned,,,Often sparse in beer league tracking; may be approximated.,
ACCEL_RUSH,Rush Acceleration,,Player-Game,Tracking,Peak acceleration during rush sequences.,,"During rush segments, accel_t=(speed_t-speed_{t-1})/Δt; take max.",,,,,,,needs_tracking,,,,Differentiate elite rush skaters from slower players.
BS01,Goals,,player_game,Basic,Number of non-empty-net goals a player is credited with in a game.,,"Count of events where event_type = 'shot' AND event_detail_1 IN ('goal','pp_goal','sh_goal','ev_goal', etc.)
AND event_successful = 1 AND event_player_1 = player_id.",,,,,,,Yes,,,,"Treat as a simple count measure. When asked for season totals, sum over games. For rate stats, combine with
TOI (e.g., Goals/60)."
BS02,Assists (Primary + Secondary),,player_game,Basic,"Total number of assists a player records in a game, both primary and secondary.",,"Count of events flagged as goals where assist_1_id = player_id OR assist_2_id = player_id, wired via
play_details_1/play_details_2 or explicit assist columns, depending on actual implementation.",,,,,,,Yes,,,,"Make sure the model understands that a player can get at most 2 assists per goal event (primary + secondary).
If schemas differ, rely on whatever columns are explicitly marked as assists."
BS03,Points,,player_game,Basic,Sum of goals and assists a player records in a game.,,Points = Goals + Assists.,,,,,,,Yes,,,,"Treat this as a composite stat and do not double-count goals. If computing from events instead of boxscore,
first compute BS01 and BS02, then add."
BS04,Shots on Goal,,player_game,Basic,"Number of shots on goal by a player (goals + saved shots, excluding misses and blocks).",,"Count events where event_type IN ('shot','tip', etc.) AND event_detail_1 IN
('on_goal','goal','rebound_on_goal') AND event_player_1 = player_id.",,,,,,,Yes,,,,"Different data sources classify shot types slightly differently. When unsure, prefer a curated mapping in
dim_event_types that explicitly flags 'is_shot_on_goal = 1'."
BS05,Shot Attempts (Corsi Events),,player_onice_game,On-Ice,"All shot attempts (shots on goal, misses, and blocks) for the player's team while the player is on
the ice.",,"For each event that is a shot attempt (shot_on_goal, missed_shot, blocked_shot), flag CF if the event_team =
player's team AND the player is on the ice according to shifts_long or the on-ice join; then count these.",,,,,,,Yes,,,,"This is the core 'Corsi For' input. The model should remember this is an on-ice stat, not purely 'player did
the shot'. It reflects team shot volume with that player."
BS06,Unblocked Shot Attempts (Fenwick Events),,player_onice_game,On-Ice,"All unblocked shot attempts (shots on goal and misses, but excluding blocks) for the player's team
while the player is on the ice.",,"Same as Corsi, but only events where event_detail_1 indicates 'on_goal' or 'missed', excluding 'blocked'.
Count these when event_team = player's team and the player is on the ice.",,,,,,,Yes,,,,"Fenwick is 'Corsi without blocks'. Explain this clearly when asked why it might differ from CF. Use a curated
'is_fenwick' flag in dim_event_types when possible."
BS07,Plus-Minus,,player_game,Basic,"Traditional plus-minus: goals for minus goals against at even strength while the player is on the
ice.",,"For each non-empty-net even-strength goal, +1 when the player's team scores and the player is on the ice; -1
when the opponent scores and the player is on the ice. Sum.",,,,,,,Yes,,,,"Plus-minus is noisy and heavily team/context dependent. When the user asks for 'better' impact measures,
propose xGF-based or Corsi-based metrics instead."
