stat_id,name,level,category,description,formula_or_logic,primary_data_sources,requires_detailed_tracking,feasible_from_league_boxscore_only,implementation_status,notes
G,Goals,player_game,boxscore_core,Number of goals scored by the player in the game.,Count of events where event_type='shot' AND event_detail_1='goal' AND event_player_1 = player_id.,"fact_events_long, dim_event_types, dim_player",yes,yes,implemented_or_near,Can also pull from league fact_gameroster for untracked games.
A1,Primary Assists,player_game,boxscore_core,Number of primary assists credited to the player.,Count events where play_details_1 or event_details_1 indicate 'primary_assist' and player is referenced as assisting player id.,"fact_events_long, dim_event_details, dim_player",yes,partial,planned,Relies on consistent encoding of primary assist in event_detail or play_detail fields.
A2,Secondary Assists,player_game,boxscore_core,Number of secondary assists credited to the player.,Same as A1 but using secondary assist markers in details columns.,"fact_events_long, dim_event_details, dim_player",yes,partial,planned,Often sparse in beer league tracking; may be approximated.
P,Points,player_game,boxscore_core,Total points for the player in a game.,P = G + A1 + A2.,"derived from G, A1, A2",no,yes,implemented_or_near,Straightforward aggregation once G and assists exist.
TOI,Time on Ice (All situations),player_game,toi_core,"Total time on ice for the player, all strengths and situations.",Sum shift_duration_seconds across all logical shifts for the player in fact_shifts_long/logical_shifts.,"fact_shifts_long, dim_player",yes,no,implemented_or_near,"For untracked games, approximate via shifts count * average shift length."
CF,Corsi For,player_game,possession_shot_volume,"Total shot attempts for while player is on ice (shots on goal, misses, blocks).","Count events where event_type IN ('shot','missed_shot','blocked_shot') and player's team is event_team AND player is on ice from shifts_long join.","fact_events_long, fact_shifts_long, dim_player, dim_team",yes,no,implemented_or_near,Already approximated in previous boxscore builds; refine classification and on-ice join.
CA,Corsi Against,player_game,possession_shot_volume,Total shot attempts against while player is on ice.,Same as CF but event_team is the opposing team when player is on ice.,"fact_events_long, fact_shifts_long, dim_player, dim_team",yes,no,implemented_or_near,On-ice join is the key.
FF,Fenwick For,player_game,possession_shot_volume,Unblocked shot attempts for while player is on ice.,"Count events where event_type IN ('shot','missed_shot') and player's team is event_team and player is on ice.","fact_events_long, fact_shifts_long, dim_player, dim_team",yes,no,planned,Need to be sure blocked vs unblocked shot tagging is consistent.
FA,Fenwick Against,player_game,possession_shot_volume,Unblocked shot attempts against while player is on ice.,Same as FF but for opponent.,"fact_events_long, fact_shifts_long, dim_player, dim_team",yes,no,planned,
xGF,Expected Goals For,player_game,xg,Sum of expected goals values for all shot attempts for while player is on ice.,Sum xG_event for shots where event_team is player's team and player is on ice (xG derived from xy + shot metadata model).,"fact_events_long, fact_xy_events/fact_xy_shots, dim_player, ML_xg_model",yes,no,future,Requires trained xG model and robust XY + shot context.
xGA,Expected Goals Against,player_game,xg,Sum of expected goals values for all shot attempts against while player is on ice.,Same as xGF but for opponent's shots while player is on ice.,"fact_events_long, fact_xy_events/fact_xy_shots, dim_player, ML_xg_model",yes,no,future,
ENTRY_CONTROLLED,Controlled Zone Entries,player_game,micro_entry_exit,Number of offensive-zone entries with possession controlled by the player.,Count events where event_type='zone_entry' AND event_player_1=player_id AND event_detail_1='controlled' (or equivalent code).,"fact_events_long, dim_event_details, dim_zones",yes,no,future,Matches AllThreeZones-style microstat for entries.
ENTRY_DUMP,Dump-in Zone Entries,player_game,micro_entry_exit,Number of offensive-zone entries by dumping the puck.,Same as ENTRY_CONTROLLED but event_detail_1 like 'dump_in'.,"fact_events_long, dim_event_details, dim_zones",yes,no,future,
EXIT_CONTROLLED,Controlled Zone Exits,player_game,micro_entry_exit,Number of defensive-zone exits where the team retains possession.,Count events event_type='zone_exit' AND event_player_1=player_id AND event_detail_1='controlled'.,"fact_events_long, dim_event_details, dim_zones",yes,no,future,
EXIT_FAIL,Failed Zone Exits,player_game,micro_entry_exit,"Defensive-zone exit attempts that failed (turnover, icing, etc).",Count events where event_type='zone_exit' AND play_successful=0 or event_successful=0 for the player.,"fact_events_long, dim_event_details, dim_zones",yes,no,future,
PASS_COMPLETED,Completed Passes,player_game,micro_passing,Number of passes completed by the player.,Count events with event_type='pass' AND event_player_1=player_id AND play_successful=1.,"fact_events_long, dim_event_details",yes,no,future,
PASS_ATTEMPT,Pass Attempts,player_game,micro_passing,Number of pass attempts by the player.,Count events with event_type='pass' AND event_player_1=player_id.,fact_events_long,yes,no,future,
PASS_PCT,Pass Completion Percentage,player_game,micro_passing,Share of attempted passes that are completed.,"PASS_PCT = PASS_COMPLETED / NULLIF(PASS_ATTEMPT,0).","derived from PASS_COMPLETED, PASS_ATTEMPT",no,no,future,
GIVEAWAY_CLEAN,"Giveaways (non-dump, non-miss)",player_game,micro_turnovers,Turnovers attributed to the player that are not harmless dumps or misses.,"Count events where event_type='giveaway' AND event_player_1=player_id AND event_detail_1 NOT IN ('dump','clear') AND event_detail_2 NOT LIKE '%missed_shot%'.","fact_events_long, dim_event_details",yes,no,implemented_or_near,Matches your earlier request for 'real' giveaways.
TAKEAWAY,Takeaways,player_game,micro_turnovers,Number of takeaways credited to the player.,Count events where event_type='takeaway' AND event_player_1=player_id.,fact_events_long,yes,no,future,
NET_FRONT_TIME,Net-Front Time on Ice,player_game,micro_positioning,Total time the player is in net-front region while on ice.,Integrate time in shifts/events where XY location for player falls inside net-front polygon from dim_rinkcoordzones; sum durations.,"fact_xy_events, dim_rinkcoordzones, fact_shifts_long",yes,no,future,Depends on tracking density and how often XY is sampled.
RUSH_SHOTS,Rush Shots,player_game,xg_context,"Shots taken shortly after zone entry with speed, typically within a few seconds.","Count shot events where preceding zone_entry by same team & chain within N seconds, sequence tagged as 'rush'.","fact_event_chains, fact_events_long, dim_event_details",yes,no,future,Aligns with JetsNation/HockeyViz concepts of rush chances.
CYCLE_POSS_TIME,Cycle Possession Time,player_game,xg_context,Time spent in sustained offensive-zone cycles.,"Sum time for sequences where puck remains in OZ, multiple passes, no change of possession, tagged as 'cycle' in chain table.","fact_event_chains, fact_events_long, dim_zones",yes,no,future,
PLAYER_SIM_SCORE,Player Similarity Score,player_season,analytics_meta,Composite similarity score between this player and a reference (e.g. NHL player).,Computed via ML embedding of stat vectors; cosine similarity vs reference vector.,"aggregated season stats across multiple facts, ML model",no,yes_boxscore_plus_ratings,future_research,"Designed for Moneyball-style comps (e.g., similarity to Cale Makar)."
RATING_CONTEXT_PLUSMINUS,Rating-Adjusted Plus-Minus Context,player_game,rating_context,Plus/minus contextualized by average rating of teammates and opponents on ice.,Compute standard plus/minus and then annotate with avg/min/max rating of own line and opponent line from dim_player.rating for each GF/GA event.,"fact_events_long, fact_shifts_long, dim_player",yes,partial,planned,We already experimented with rating-aware stats; this formalizes that idea.
