shot_type_id,shot_type_code,shot_type_name,is_goal,xg_modifier,accuracy_rating,power_rating,deception_rating,typical_distance,description
ST0001,Goal-Backhand,Backhand,1,1.3,0.7,0.5,0.9,close,Backhand goal - deceptive close-range finish
ST0002,Goal-Poke,Poke,1,1.1,0.4,0.3,0.6,close,Poke goal - opportunistic net-front finish
ST0003,Goal-Snap,Snap,1,1.2,0.8,0.75,0.75,medium,Snap shot goal - quick release mid-range
ST0004,Goal-Tip,Tip,1,1.4,0.5,0.4,0.85,close,Tip-in goal - high-danger redirect
ST0005,Goal-Wrist,Wrist,1,1.15,0.85,0.65,0.7,medium,Wrist shot goal - accurate all-purpose finish
ST0006,Shot-Backhand,Backhand,0,1.15,0.65,0.45,0.85,close,Backhand shot - deceptive but less power
ST0007,Shot-Bat,Bat,0,0.9,0.35,0.3,0.5,close,Bat shot - desperation/redirect attempt
ST0008,Shot-OneTime,OneTime,0,1.35,0.6,0.9,0.8,medium,One-timer - high danger cross-crease/setup play
ST0009,Shot-Poke,Poke,0,0.85,0.4,0.25,0.55,close,Poke shot - opportunistic scramble attempt
ST0010,Shot-Slap,Slap,0,1.0,0.55,0.95,0.6,far,"Slap shot - maximum power, less accuracy"
ST0011,Shot-Snap,Snap,0,1.1,0.75,0.7,0.7,medium,Snap shot - balance of quick release and power
ST0012,Shot-Tip,Tip,0,1.25,0.45,0.35,0.8,close,Tip/deflection - redirect attempt
ST0013,Shot-WrapAround,WrapAround,0,1.05,0.5,0.4,0.75,close,Wrap-around - behind-net attack
ST0014,Shot-Wrist,Wrist,0,1.0,0.8,0.6,0.65,medium,"Wrist shot - most common, balanced shot"
