site_name,url,category,what_we_like,how_we_use_it
Evolving-Hockey,https://evolving-hockey.com/,NHL analytics & projections,"Rich advanced stats, RAPM, xG models, and clean player/team dashboards.","Inspires BenchSight's advanced stat catalog, xG modeling ideas, and clean comparison-style dashboards."
War-on-Ice (archive blog),http://blog.war-on-ice.com/,Analytics blog (historical),"Deep dives on hockey analytics concepts (xG, shot quality, etc.).",Reference for explaining advanced stats and thinking about model methodology.
Peter Tanner,https://peter-tanner.com/,Analytics & visualization,"Clean, story-driven hockey visualizations.",Inspires storytelling visuals and blog-style breakdowns from BenchSight outputs.
Sportradar Hockey API,https://developer.sportradar.com/ice-hockey/reference/nhl-awards-list,Official data API docs,Well-documented event/feed structure for pro data.,"Reference for how commercial feeds structure events, schedules, and IDs."
Hockey-Statistics (data),https://hockey-statistics.com/data/,Data dumps,Downloadable stats tables and examples of organized public data.,BenchSight's CSV datamart outputs are designed with similar clarity for downstream analysis.
Hockey-Statistics (visualizations),https://hockey-statistics.com/visualizations/,Visualization gallery,Variety of charts and filters for players/teams.,"Inspires filtering patterns and visual types (shots maps, time series, etc.)."
JetsNation xG explainer,https://jetsnation.ca/news/expected-goals-xg-models-explained,xG explanation,Accessible explanation of expected-goals models.,Reference for how to explain BenchSight's xG outputs to non-technical users.
HockeyStats,https://hockeystats.com/,Stats & visuals,Interactive shot maps and game views.,Inspires shot-location visuals and game-summary views.
Hudl Instat Hockey Glossary,https://static.hudl.com/craft/support/glossaries/Hudl-Instat-Hockey-Glossary_v1.00.pdf?mtime=20231006115546,Glossary,Clear definitions of many microstats and event types.,Baseline naming and definitions for BenchSight's microstat catalog.
HockeyViz – game example,https://hockeyviz.com/game/2024030416,Visualization,Beautiful game-level shot maps and context-rich layouts.,Inspires layout ideas for BenchSight's game/story views.
Natural Stat Trick – game page,https://www.naturalstattrick.com/game.php?season=20242025&game=30410,Advanced stats,"On-ice, with/without, score/venue-adjusted metrics in one place.",Reference for with/without-you reports and head-to-head breakdowns.
All Three Zones – main site,https://www.allthreezones.com/,Microstats & tracking,"Manual tracking microstats (entries, exits, passes) and visualizations.",Direct inspiration for BenchSight's microstat schema and tracking workflow.
Corey Sznajder Tableau – Playing Styles,https://public.tableau.com/app/profile/corey.sznajder/viz/testthisisatest/PlayingStyles,Player style viz,Player 'compass' style visuals that summarize tendencies.,Inspires BenchSight player cards and style compasses.
All Three Zones Substack – Microstat Player Compass,https://allthreezones.substack.com/p/the-microstat-player-compass,Article,Explains combining microstats into intuitive player style archetypes.,Guides how we might roll multiple microstats into higher-level ratings.
NHL Edge – Teams,https://www.nhl.com/nhl-edge/teams,Official advanced-tracking portal,"Modern web UX for presenting tracking data (speed, shot type, etc.).",Reference for UX and stat categories when BenchSight scales to richer tracking.
NHL Edge – Skaters,https://www.nhl.com/nhl-edge/skaters,Official advanced-tracking portal,Rich filterable skater metrics with visuals.,Inspires BenchSight's multi-season player comparison and filters.
NHL Edge – Connor McDavid example,https://www.nhl.com/nhl-edge/skaters/connor-mcdavid-8478402/20252026/2,Player card,"Deep-dive per-player page combining tracking, shot, and scoring data.",Template for high-end BenchSight player scouting pages.
NHL Edge – Goalies,https://www.nhl.com/nhl-edge/goalies,Goalie tracking portal,Goalie-specific tracking metrics and visuals.,"Inspiration for goalie-only modules in BenchSight (shot locations by save, etc.)."
NHL Edge – Goalie example,https://www.nhl.com/nhl-edge/goalies/brandon-bussi-8483548/20252026/2,Goalie card,Goalie-specific card showing strengths/weaknesses.,Template for future goalie scouting pages in BenchSight.
NHL Edge – Skater Comparisons,https://www.nhl.com/nhl-edge/comparisons/skaters/Cale-Makar-8480069/20252026/2/Roman-Josi-8474600/20252026/2,Comparison tool,Two-player comparison UX.,Inspires BenchSight's head-to-head and player comp dashboards.
ESPN – Game Summary example,https://www.espn.com/nhl/game/_/gameId/401802883/hurricanes-predators,Game summary,"Box score, scoring summary, and play-by-play in one place.",Model for BenchSight's fan-facing game-summary pages.
NHL – GameCenter example,https://www.nhl.com/gamecenter/car-vs-nsh/2025/12/17/2025020532,Official game hub,Timeline + stats + video highlights.,"Inspires integrated game pages linking stats, shot maps, and video clips."
MoneyPuck – Data,https://moneypuck.com/data.htm,Downloadable data,Public xG and play-by-play datasets.,Reference for file formats and features if we want to compare BenchSight to NHL data.
Shot Plotter – Rink XY,https://shot-plotter.netlify.app/ice-hockey,XY shot/event tool,Simple XY capture on a rink diagram.,Direct inspiration for BenchSight's event XY tracker UI.
Shot Plotter – Net XY,https://shot-plotter.netlify.app/ice-hockey-net-nhl,XY shot-location-on-net,Captures where shots land on the net.,Inspires BenchSight's shot-on-net XY module.
