stat_id,name,level,category,definition,formula_pseudocode,required_tables,required_columns,implemented,notes
BOX_GOALS,Goals,player_game,boxscore,Number of goals credited to a player in a single game.,count(events where event_type='shot' and event_detail_1='goal' and player is event_player_1),fact_events,"event_type_id,event_detail_1,player_id_main,game_id",yes,Basic counting stat; also aggregated to season/team levels.
BOX_ASSISTS,Assists,player_game,boxscore,Number of assists credited to a player in a game.,count(goal_events where player appears in assist roles in play_details columns),fact_events,"event_type_id,play_details_1,play_details_2,player_id_main,game_id",yes,Depends on how assist roles are encoded in event/play detail columns.
MICRO_CONTROLLED_ENTRY,Controlled Zone Entries,player_game,microstat,Number of offensive zone entries with control by a player.,count(events where event_type='zone_entry' and event_detail_1='controlled' and player is event_player_1),fact_events,"event_type_id,event_detail_1,player_id_main,zone_id",yes,Can also compute team and line level versions.
MICRO_CONTROLLED_ENTRY_WITH_SHOT,Controlled Entries with Shot,player_game,microstat,Number of controlled offensive zone entries that lead to a shot within a short time window.,"for each controlled zone_entry, look ahead N seconds / events for a shot by same team; count such entries","fact_events,fact_sequences","game_id,team_id_for,event_type_id,sequence_id,period,running_time",planned,Requires sequence or event-chain table to detect follow-up shots.
XG_SHOT,Expected Goals per Shot,shot_event,xg,Model-estimated probability that a given shot becomes a goal.,"xg_model(distance_from_net,angle,pre_shot_movement,traffic,shot_type,score_state,...) -> probability",fact_xg_shots,"distance_from_net,shot_angle,shot_type,pre_shot_features,...",planned,Stored as a column in fact_xg_shots; aggregated to players/teams.
XG_FOR_60,xG For per 60,player_game_or_season,xg,"Expected goals for a player while on ice, scaled to 60 minutes.",(sum(xg_value_for_when_on_ice) / total_toi_seconds) * 3600,"fact_shifts,fact_xg_shots","player_id,game_id,time_on_ice_seconds,xg_value,team_on_ice_ids",planned,Requires joining on-ice players from shifts to shots/xG events.
CORSI_FOR,Corsi For,player_onice_game,possession,"All shot attempts (on goal, missed, blocked) by the player’s team while they are on the ice.",count(shot_attempt_events for team_for where player is among on-ice players from shifts),"fact_events,fact_shifts","event_type_id,shot_attempt_flag,team_id_for,game_id,period,running_time,player_onice_ids",yes,Computed at on-ice level; also available at team/line levels.
CORSI_AGAINST,Corsi Against,player_onice_game,possession,All shot attempts by the opposing team while the player is on the ice.,count(shot_attempt_events for team_against where player is among on-ice players),"fact_events,fact_shifts","event_type_id,shot_attempt_flag,team_id_against,game_id,period,running_time,player_onice_ids",yes,Standard Corsi definition; can also compute differential and %.
RATING_CONTEXT_ENTRY,Rating Context on Zone Entry,event,rating,Summary of player ratings for both teams on ice at time of a zone entry.,"for event zone_entry, join to shifts_on_ice, then aggregate ratings: min/max/avg per team","fact_events,fact_shifts,dim_players","game_id,period,running_time,player_id,rating_1_to_6,team_side",yes,Used to study how low/high-rated players handle tough matchups.
SEQ_RUSH_GOAL,Rush Goal Sequence Flag,sequence,sequence,Flag for sequences where a team moves quickly from DZ/NZ into OZ and scores within a short window.,sequence where zone_entry in OZ followed by goal event within N seconds/events and preceding events show transition from DZ/NZ,"fact_sequences,fact_events","sequence_id,game_id,team_id_for,zone_id,event_type_id,running_time",planned,Useful for studying rush offense efficiency.
